Country,Year,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Bolivia,1952,31.5368934425,6.747999999999999,-4.0,25.268524151999998,58.80000087285714,600910.0,988.5131275230768,38.487959975,19.7230301234,27.309749497000002,5354.652693999999,0.0,98.21428571428574,130.46074259008336,4.644692340000001,40.274,77.96600985333333,92.19019711333333,2.571,116.314436931,15.016348800000001,-2.0412253439999994,19.60947037,2.301222343,513.3333333
BosniaandHerzegovina,1952,42.349019606,4.875,-7.0,31.40396935,83.71428571428571,21850.0,1601.6853722,133.870692895,3.0137737159999998,78.69141100750001,1947.06639,27.41,23.54,5.46561372675,12.80676448325,53.165,96.66309845,99.79393031,54.283,807.45109914,19.995826995,-47.2702388125,3.761750937,-4.702780753,17678.466666
Botswana,1952,45.796499214166666,6.492000000000001,6.818181818181818,47.16643288666666,55.57142856999999,125350.0,1791.8203368615384,228.33445415249997,0.49789684733333334,49.66415414923077,1702.4822809999998,0.0,66.41333333333334,10.376068891333333,3.15375252625,47.451,0.0,0.0,0.752,169.40667884714284,21.46588053,-4.141858865846154,26.70654106,2.6420206619999997,2433.1999999299996
Brazil,1952,27.172183987499995,6.149,5.0,9.805902492833331,49.77142769714286,5459430.0,3030.215758538461,168.8510596,10.619566858199999,9.009262909923077,4217.88871,46.707499999999996,69.40666666666668,178.85823386874998,11.247618573999999,50.763000000000005,84.9018676325,93.1964680275,6.744,307.820044006,14.085221874999998,0.5854523825384617,19.205511666666666,1.274442514,24959.0
BritishVirginIslands,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4487.886038000001,0.0,19.999999999999996,0.0,0.0,0.0,0.0,0.0,49.986999999999995,0.0,0.0,0.0,0.0,0.0,44.30555555941667
Brunei,1952,2.7514231500000004,7.074,0.0,74.18211695000001,54.34285790714286,3970.0,21482.62027111112,577.075827225,6.046940029,33.38501310142857,73360.07212000001,0.0,14.89,16.28974864266667,22.00380965025,57.54,0.0,0.0,9.381,1258.0737298600002,0.0,40.79710384585714,16.59905243,2.442272554,322.6666667
Bulgaria,1952,53.4104031525,2.552,-7.0,48.56463305249999,86.82857295428572,33750.0,1715.301885375,130.0654579125,4.3366133245,52.81248107,4888.5732960000005,0.0,98.0,24.878373413857144,15.9080877625,59.6,0.0,0.0,66.038,1027.90535428,19.738818291999998,-4.247846430125,11.489950454545454,-0.653184442,9438.0
BurkinaFaso,1952,34.4283016575,6.0889999999999995,-4.846153846153846,8.522267546,83.29999978142857,62480.0,172.67999436153846,10.6461371775,5.340215231,22.891897451666665,1086.510483,0.0,176.2,3.847992831583334,0.34958399325,30.706999999999997,12.84816893,19.41415165,15.956,0.0,12.18425259,-14.674655083750002,33.69688034,3.5874806969999997,558.7435897307691
Burundi,1952,80.53284008166666,6.797999999999999,-3.5833333333333335,9.791792492166666,95.60000065285715,1980.0,144.23405805384616,3.7816816275,4.472863438333333,20.203525170833334,678.5929173999999,26.59,112.78571428571429,12.844982565,0.24742250020000003,38.881,73.125745775,81.10821289500001,91.641,0.0,14.28089027,-9.606998705166667,43.82777786,2.806263958,185.77777778333333
Cambodia,1952,21.863905884999998,6.946000000000001,-3.5,37.983663379333336,84.17142813714284,115460.0,362.52508249999994,8.288504244999999,0.10473498600000002,41.80482506714286,1761.7817519999999,34.87,76.89999999999999,4.3451538085,0.2858197613333333,40.161,75.59824875000001,85.42712108,25.165,25.9140667275,9.336230691499999,-7.261492865857143,22.96832657,-17.43487241,1096.3333333592857
Cameroon,1952,18.564588580000002,5.49,-6.076923076923077,24.493383559999998,64.38571494,221160.0,583.8370729769231,8.730404862499999,1.794246638,23.991423055454547,2345.33531,38.68,109.53333333333335,6.366266077916666,1.542731831,38.358000000000004,54.81268528,75.95765932,9.747,26.939625080999996,9.753700886,-0.2048290218181821,29.70799255,3.390887392,282.3333333
Canada,1952,7.485814975083333,3.617,10.0,29.353905025,73.02857099285714,3101340.0,17640.201266615386,2038.7846245,14.322737196666667,26.65794023692308,22734.32225,24.78585623,37.1,4.48648544725,40.270257967,68.75,0.0,0.0,1.456,3360.541965276923,14.138762119999999,1.7430532994615384,20.83004,1.1432256570000001,159536.6667
CaymanIslands,1952,8.333333332999999,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,19426.42493,0.0,0.0,0.0,61.0,0.0,0.0,0.0,23.663,0.0,0.0,0.0,0.0,1.027086527,209.7857142955
CentralAfricanRepublic,1952,8.009754192250002,5.4910000000000005,-4.153846153846154,0.0,74.69999912857143,229030.0,0.0,0.0,0.17691149725000002,30.172525333076923,2142.621425,0.0,0.0,0.0,0.0,33.233000000000004,42.13479552,54.504689625,0.0,0.0,6.214223404,-9.441105710307692,40.31264496,0.0,0.0
Chad,1952,38.36554703583334,6.09,-5.076923076923077,21.55272735583333,58.50000081857142,123170.0,210.86221736923076,5.883628815,0.0,28.874186824615382,2357.331854,0.0,102.81666666666666,7.662315370000001,0.5288757276666667,35.931999999999995,27.01782429,39.61523737,1.962,0.0,0.0,-7.94938883423077,35.50316238,2.7851791689999996,178.25641025384616
ChannelIslands,1952,42.10526315833333,2.042,0.0,0.0,0.0,8.0,42608.262835,0.0,0.0,0.0,0.0,0.0,0.0,3.8449444635,0.0,69.09,0.0,0.0,531.354,0.0,0.0,0.0,0.0,-0.827163251,0.0
Chile,1952,21.121093521666666,4.8839999999999995,2.0,25.714451731666667,43.928572519999996,158340.0,3331.9373816153848,203.6419837,3.8688347875999995,24.257159507692304,7879.9575780000005,44.51,138.2,42.3803136535,16.5595869336,54.669,96.47007241,98.79077329,8.355,301.75616681,17.80705408,1.160943143076923,12.788665,1.270072293,10615.0
China,1952,50.03155988333334,5.973,-8.0,17.4850757784,85.78571319571428,1770000.0,528.6101713415385,33.445006587499996,18.693264552400002,16.0499986568,1184.03034,0.0,50.775000000000006,4.497511776416666,7.946294135,40.405,90.92021038,98.85873002,60.278,85.96111444900001,6.7801451356,1.4350771205000001,20.96404076,1.837636078,128315.0
Colombia,1952,39.87652095583333,6.7589999999999995,-5.0,15.333372749166669,62.899999345714285,615090.0,2063.0712059999996,172.723762375,6.352777070399999,15.775582359999998,4288.230192,45.08,111.0,18.939917832500004,9.31406026725,50.157,92.46303826,97.65852741666667,11.149000000000001,306.07036002,11.424074614999999,-0.33616654176923066,15.351447583333334,1.8499258669999998,8642.333333
Comoros,1952,66.53225806333333,5.934,0.0,14.728483057499998,72.7285723,80.0,387.48375675000005,13.21327058,0.22213077,43.28456955250001,2205.981871,55.19,100.61666666666666,2.1763830184285715,1.533022595,40.553000000000004,58.20423375,70.949387915,88.306,0.0,0.0,-28.556086496249996,18.19371986,2.3551441719999997,55.564102568461536
CookIslands,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.26868052500004,0.0,0.0,0.0,0.0,125.2,0.0,0.0,0.0,0.0,0.0,66.263,0.0,0.0,0.0,8.616690636,0.0,29.7
CostaRica,1952,40.20923097166666,6.6770000000000005,10.0,34.40949973083333,44.57142857142857,23760.0,3143.028978153846,258.01763775,32.7644284,37.71910951153846,5254.018942000001,34.905,35.33,12.651310617333332,11.9449460196,56.971000000000004,93.74861454,97.381444915,20.064,606.7536833199999,15.72456601,-4.309124960615384,17.144224636363642,2.3371613780000002,388.6666667
Coted'Ivoire,1952,57.116352201666665,6.736000000000001,-6.230769230769231,39.26226567166667,47.78571483142857,103280.0,716.0120047846153,11.334270159999999,7.463669342249999,31.82705808153846,2777.1894629999997,28.46,131.29333333333335,7.026079703250001,0.7472884664999999,31.858,41.44002018,54.61606555,8.662,47.06997455,15.3768237,7.048844623384616,62.63657379,3.008103759,5017.12820513077
Croatia,1952,28.500729074000002,2.7969999999999997,-7.0,44.441546948,75.17142704428572,18850.0,5432.395099750001,546.1476519,8.636873330999999,48.17914431,6238.47304,19.42,16.04,122.63639145539996,22.2648661585,61.023999999999994,0.0,0.0,68.993,1228.46737808,21.088478874,-3.818211367599999,14.249768,-3.567269782,20203.333332
Cuba,1952,56.67956959666666,4.218,0.0,24.52905474,55.04285703428571,24350.0,2881.1549071,250.4935075,16.628678255,31.199985762999994,11173.07756,0.0,38.0,1.9765873651999997,5.48027907725,59.107,0.0,0.0,55.723,297.88674557,0.0,-6.670931024400001,12.910017999999997,-0.117926851,6288.333333
Cyprus,1952,18.81313131333333,3.727,8.615384615384615,49.616297618888886,60.94285637857143,1720.0,10562.85391488889,487.82622885,10.026009611800001,57.94964458555556,6310.882375,0.0,10.540000000000001,5.999121488888888,18.4237596682,66.518,94.3624702,99.62139416,54.765,888.59360211,41.7955988725,-8.33334696711111,13.647245,1.4924196980000002,315.3333333
CzechRepublic,1952,55.230525437500006,2.7110000000000003,-7.0,0.0,84.68571472142857,26370.0,0.0,0.0,10.691920151249999,63.46998231,13752.2805,20.165,0.0,0.0,0.0,66.87,0.0,0.0,0.0,981.4229055900001,15.5991019975,-0.6682984668000003,10.692814600000002,0.0,0.0
Denmark,1952,66.73812133916667,2.535,10.0,36.74864477583333,84.44285692714286,4860.0,22012.89316846154,3410.736777,17.083094963333334,35.37520108384616,18071.33163,0.0,27.9,5.187788822166666,42.2417177492,70.78,0.0,0.0,100.823,1784.8678253333333,32.135227395,1.032044789,10.01406,0.096858234,22920.33333
Djibouti,1952,60.97929249166666,6.306,-3.875,38.773773642500004,70.95714351142858,60.0,860.6400104,33.21649415,0.0,57.9347758575,5339.058949,27.84,92.21000000000001,4.3935967716,0.8167459859999999,40.853,0.0,0.0,2.803,0.0,0.0,-19.1610022175,34.83585358,1.851834895,25.66666667
Dominica,1952,25.777777777500003,0.0,0.0,41.349801365,0.0,470.0,4145.903427125,166.26599692500002,4.350242473000001,65.0900651525,4487.703174,0.0,27.107142857142858,8.25295306425,20.3649938585,0.0,0.0,0.0,69.638,0.0,0.0,-24.1000706825,6.593111037999999,-0.608138375,7.333333333
DominicanRepublic,1952,51.56767384250001,7.5889999999999995,-9.0,0.0,42.099999835714286,19720.0,0.0,0.0,3.2034169736666662,33.808430873846156,2795.434275,39.953333333333326,0.0,0.0,0.0,45.551,0.0,0.0,0.0,355.73916034,13.911068875,-5.895829468923077,49.18263245,0.0,0.0
EastGermany,1952,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.29475,0.0,189548.3333
Ecuador,1952,25.003557797500005,6.706,2.0,26.70159707916667,41.02857099285715,118410.0,1226.0372213923076,43.3307127825,4.8886178954,27.06939411923077,7044.2214349999995,0.0,64.77333333333333,5.080912832499999,5.0375820970000005,48.065,0.0,0.0,12.579,184.58286606400003,25.20223488,-1.125445827076923,15.46362114,2.45099203,894.6666667000002
Egypt,1952,2.92229644875,6.619,-7.0,22.010935754166667,25.114285605714286,590.0,1001.7898657615385,29.323692442499997,0.6255561485,28.868423676153846,2837.64489,27.189999999999998,102.18,10.053460146833336,5.96584954225,40.579,46.891880625,62.12492662,22.575,240.69430689299998,16.2749198475,-7.049166588461538,0.0,1.4921321140000001,10904.66667
ElSalvador,1952,67.24760346083333,6.265,-6.0,25.531022014166663,55.28571374142856,3320.0,1911.3010488461537,89.2079404,5.0191662115,33.33918764692308,6096.605801,39.43,68.04666666666665,5.455343327916666,3.6359467125,44.626999999999995,79.30676893333334,89.95603306666668,108.288,153.419449657,12.656049245,-8.213955442230768,36.22414017,1.236373388,388.6666667
EquatorialGuinea,1952,11.764705883333335,5.502000000000001,-5.454545454545454,56.21080092939999,43.31428582285714,17430.0,3237.399062216667,140.487426565,0.0,60.07943349,751.2862462,0.0,83.60000000000001,19.199997592166664,0.9320949833333333,34.333,88.30830111,97.13136729,8.298,0.0,0.0,-3.9582475606999985,40.30931854,-3.822820989,11.0
Eritrea,1952,74.1089108925,6.962000000000001,-6.5,13.197204422800002,58.88571439571429,15760.0,167.78890847999998,4.097317115,0.0,60.00597968000001,657.8811142000001,0.0,75.45,18.73346159725,1.3394344024999998,35.747,0.0,0.0,10.08,15.002152954399998,0.0,-46.808775262,21.64807129,1.053748875,535.333333325
EritreaandEthiopia,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,1952,23.788629394000004,2.068,-9.0,72.6491803025,85.64285714142855,22430.0,4864.3607585,386.148879875,14.54393253375,74.24182806999998,8057.970808,24.843333333333334,14.929999999999998,9.678676433749999,31.2055176478,65.085,99.76719592,99.77050199,24.973000000000003,1069.83958532,17.246638060000002,-3.9777068493999996,16.767666,-2.148834689,18723.466666
Ethiopia,1952,32.194,7.2010000000000005,-9.0,9.186843238714287,70.38571494142857,137050.0,135.20349351428573,3.7931299375000003,6.3594454680000005,19.39078817742857,724.2925592,25.43,113.03076923076922,8.178176068,0.155575434,33.833,35.9,49.9,17.342,7.0847378307,8.139972284333334,-10.203944938857143,28.66166496,3.50169688,99.0
FaeroeIslands,1952,2.1582733810000003,0.0,0.0,0.0,0.0,1.0,23224.09863,0.0,1.272619516,0.0,0.0,0.0,0.0,0.0,44.33469466025,0.0,0.0,0.0,22.337,0.0,0.0,0.0,0.0,-1.815013209,55.0
FalklandIslands(Malvinas),1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,253.0
Fiji,1952,18.68272213166667,6.59,5.0,51.399045414166665,35.77142851714286,9800.0,1726.6383810769232,87.638236955,3.52613177625,54.9112613676923,3343.012818,0.0,78.0,5.561939745916668,5.4935588402499995,51.946999999999996,0.0,0.0,16.68,0.0,21.664388393333336,-4.533943144461538,3.965080738,1.012110018,157.66666669999998
Finland,1952,8.101385750916668,3.06,10.0,30.551255686666668,84.58571407,224590.0,16713.960492,2010.92959625,16.059626625,28.077701069999996,12849.03814,22.57448845,33.0,6.078786553083334,42.394266378599994,66.55,0.0,0.0,12.11,2119.844345807692,22.634812742500003,1.7472823312307695,7.923275,0.464981914,8664.333333
France,1952,57.03686151416667,2.7560000000000002,10.0,21.298080451666667,73.50000054571429,153530.0,16103.607825153847,2656.67966975,19.598744426666666,20.730276446923078,15101.81735,0.0,41.3,4.76475887425,24.534233286,67.41,0.0,0.0,76.752,1342.3445655923076,21.7588284575,0.036903524307692295,9.060669,0.546056291,227186.6667
FrenchGuiana,1952,0.0,5.011,0.0,0.0,67.81428636857143,0.0,0.0,0.0,0.0,0.0,5706.512715999999,0.0,0.0,0.0,0.0,53.048,0.0,0.0,0.299,0.0,0.0,0.0,0.0,0.0,11.0
FrenchPolynesia,1952,11.976320581666668,6.0089999999999995,0.0,3.507315586666666,58.2714277,1050.0,11839.287450111111,0.0,12.3310117165,25.01039261,15318.894240000001,0.0,0.0,5.068785460333334,14.55064322975,48.281000000000006,0.0,0.0,16.084,0.0,0.0,-21.50307702666667,0.0,1.074354827,402.0238095121429
Gabon,1952,20.059572321666668,3.969,-6.769230769230769,56.33931023333334,73.01428658714285,220000.0,4297.650153076924,72.92989755,15.913090773499999,39.48488574538461,8586.95295,0.0,51.70000000000001,13.471258337750001,2.6013026045,36.79,83.80069,96.6865,1.758,358.16678965555553,0.0,15.149168832076926,29.35261154,2.409952754,2956.461538438462
Gambia,1952,59.71666666666667,5.271,3.0,35.90137407727272,74.07143075142857,4610.0,589.0725809454544,8.6393912725,5.53040852075,57.83641004818182,970.4613181,0.0,97.00666666666666,5.322642475636363,2.78632643925,30.129,36.81772659,52.55501678,24.561,0.0,0.0,-13.029929778727272,25.88965797,4.061336426,11.0
Georgia,1952,41.154122896,3.011,-9.0,29.117431579999998,77.08571515714286,27680.0,1277.198497418182,19.907089175,13.350941763,48.57318591666666,3479.868593,27.93,26.56666666666667,125.43418000436364,3.66623782875,60.445,0.0,0.0,52.316,548.9601971999999,13.796181548333335,-19.455754160666668,8.8426913578,-2.969904632,6899.2
Germany,1952,51.72228607833333,2.1109999999999998,10.0,27.105794667999998,68.51428549714286,110760.0,19119.370327999997,2689.5006095,14.655174078333333,27.07726297,14288.228790000001,22.06920984,11.653846153846152,2.4179434698,35.369803949200005,67.332,0.0,0.0,193.50799999999998,1232.7525586076922,11.40228669,0.020285276000000164,9.63529625,-0.382229524,611486.3333
Ghana,1952,56.675016846666665,6.422000000000001,-2.076923076923077,22.81643117025,84.52857208285715,60940.0,258.8783398307692,18.358839342499998,1.47718781025,30.483965623307693,1822.5978739999998,28.665,143.4,24.88916267366667,1.53651544125,41.917,57.89747287,70.66306259,21.923000000000002,66.77974830999999,15.472238306666668,-7.254924982538461,24.61300278,2.694924222,869.0
Gibraltar,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3461.5,997.5173005666666,0.0,0.0,0.0,0.0,73.33333333
Greece,1952,69.44336694999998,2.291,4.0,18.266621708333332,54.31428527857143,36010.0,9056.150496999999,1013.0733751999999,7.607484824166666,27.17533664692308,6538.624264,26.04365412,48.0,9.831747816916668,14.123619062,65.617,0.0,0.0,58.549,775.2055685892308,20.634665124999998,-9.65797159,16.36871090909091,0.470642414,4803.333333
Greenland,1952,0.6589389195,5.96,0.0,0.0,0.0,2.0,16295.939523,0.0,14.361638504199998,0.0,11041.80605,0.0,0.0,2.8977508524,38.4211515165,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0,0.0,-0.07043137,106.33333329999999
Grenada,1952,46.56862745166666,5.686,0.0,39.67474119874999,0.0,170.0,4050.49586075,159.07686728000002,10.41227529525,62.18997106875,2763.6513760000003,0.0,13.666666666666668,7.615535029875001,9.4225123106,56.078,0.0,0.0,224.192,0.0,21.71609024,-22.8117209125,3.693677187,-1.189109585,11.0
Guadeloupe,1952,0.0,5.609,0.0,0.0,74.19999967285715,0.0,0.0,0.0,0.0,0.0,5056.530212,0.0,0.0,0.0,0.0,52.94,0.0,0.0,127.46700000000001,0.0,0.0,0.0,0.0,0.0,66.0
Guam,1952,34.722222223333326,5.492999999999999,0.0,0.0,60.299999781428575,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5124309795,56.879,0.0,0.0,111.235,0.0,0.0,0.0,0.0,1.278763575,0.0
Guatemala,1952,34.64601219333333,7.045,2.0,19.304863559999998,33.457143238571426,42080.0,1465.5634418000004,41.81436564,7.153086624750001,24.577498317692307,4856.475539,44.49,77.05,6.351316664083334,3.532966944,41.845,0.0,0.0,30.615,100.43950903100001,9.947027391999999,-5.785397885384616,7.637175333333333,2.798013778,645.3333332999999
Guernsey,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19173.93639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,1952,57.583496119166675,5.992999999999999,-5.923076923076923,25.837477526666664,89.38571276,69040.0,359.6680031166666,4.120333155,0.1404199905,28.96889564333333,1020.392985,0.0,140.95384615384617,15.073566566666665,0.3815482995,32.946,20.55374866,27.71638722,12.939,0.0,0.0,-3.739223448166667,34.41266632,2.431413913,979.2820513
